"","Location","Cases","Deaths","Recovered"
"98","Luxembourg","19,634","167","10,825"
"99","Montenegro","19,977","322","14,635"
"100","Lithuania","18,092","182","5,082"
"101","Madagascar","16,968","244","16,301"
"102","Finlandf","16,630","359","11,300"
"103","Zambia","16,543","349","15,733"
"104","Senegal","15,637","325","15,059"
"105","Sudan","13,866","837","6,764"
"106","Mozambique","13,130","94","10,439"
"107","Namibia","13,012","133","11,201"
"108","Uganda","12,971","114","7,556"
"109","Guinea","12,213","73","10,600"
"110","Sri Lanka","12,187","24","5,858"
"111","Maldives","11,796","38","10,962"
"112","Angola","11,577","291","5,230"
"113","DR Congog","11,395","308","10,768"
"114","Tajikistan","11,139","83","10,389"
"115","Jamaica","9,296","214","4,666"
"116","Haiti","9,057","232","7,429"
"117","Gabon","8,984","55","8,779"
"118","Cape Verde","8,944","95","8,155"
"119","French Polynesia","8,646","38","4,780"
"120","Zimbabwe","8,389","245","7,939"
"121","Mauritania","7,725","163","7,443"
"122","Donetsk PRh","7,070","600","3,517"
"123","Cubai","7,035","129","6,374"
"124","Bahamasj","6,735","146","4,493"
"125","Malta","6,590","65","4,672"
"126","Latvia","6,268","77","1,406"
"127","Malawi","5,933","184","5,323"
"128","Eswatini","5,929","117","5,657"
"129","Syriak","5,888","298","2,100"
"130","Trinidad and Tobago","5,754","110","4,929"
"131","Djibouti","5,573","61","5,460"
"132","Nicaragua","5,514","156","4,225"
"133","Hong Kong","5,349","106","5,118"
"134","Estonia","5,333","73","3,954"
"135","Congol","5,290","92","3,887"
"136","Botswanam","5,285","24","4,676"
"137","Suriname","5,218","111","5,087"
"138","Rwanda","5,155","35","4,922"
"139","Equatorial Guinea","5,089","83","4,965"
"140","Iceland","4,989","17","4,174"
"141","Cyprusn","4,934","27","1,882"
"142","Andorra","4,910","75","3,627"
"143","Central African Republic","4,866","62","1,924"
"144","Guamo","4,690","79","2,666"
"145","Aruba","4,553","39","4,348"
"146","Guyana","4,245","128","3,320"
"147","Somaliap","3,941","104","3,185"
"148","Thailand","3,804","59","3,612"
"149","The Gambia","3,672","119","3,196"
"150","Belize","3,577","59","2,207"
"151","Mali","3,565","136","2,758"
"152","Uruguayq","3,196","61","2,727"
"153","South Sudan","2,926","59","1,290"
"154","Benin","2,683","41","2,455"
"155","Abkhaziar","2,579","27","1,167"
"156","Burkina Faso","2,500","67","2,250"
"157","Guinea-Bissau","2,413","41","1,818"
"158","Sierra Leone","2,368","74","1,803"
"159","Togo","2,364","57","1,681"
"160","Yemen","2,063","600","1,366"
"161","Lesotho","1,953","44","975"
"162","New Zealand","1,612","25","1,512"
"163","Luhansk PRh","1,587","73","1,254"
"164","Chad","1,498","98","1,324"
"165","Liberia","1,426","82","1,279"
"166","U.S. Virgin Islands","1,376","21","1,320"
"167","Niger","1,222","69","1,141"
"168","Vietnam","1,206","35","1,069"
"169","USS Theodore Roosevelto","1,102","1","751"
"170","Charles de Gaulles","1,081","0","0"
"171","Somalilandt","1,077","36","978"
"172","Curaçao","1,021","2","746"
"173","São Tomé and Príncipe","949","16","904"
"174","Northern Cyprusu","945","5","878"
"175","San Marino","928","42","721"
"176","Sint Maarten","859","22","768"
"177","Gibraltar","730","0","638"
"178","Diamond Princess","712","14","653"
"179","Turks and Caicos Islands","704","6","691"
"180","Liechtenstein","631","3","379"
"181","Jersey","608","32","503"
"182","Papua New Guinea","590","7","575"
"183","Burundi","589","1","511"
"184","Taiwanv","568","7","521"
"185","Comoros","554","7","517"
"186","Faroe Islands","495","0","490"
"187","Eritrea","480","0","426"
"188","Mauritius","451","10","413"
"189","Artsakhw","404","2","337"
"190","Monaco","366","2","274"
"191","Bhutan","358","0","327"
"192","Isle of Manx","356","24","324"
"193","Mongolia","340","0","312"
"194","Cambodia","292","0","283"
"195","Guernsey","272","13","246"
"196","Cayman Islands","240","1","221"
"197","Barbados","238","7","222"
"198","Bermuda","206","9","176"
"199","Seychelles","153","0","149"
"200","Costa Atlantica","148","0","148"
"201","Brunei","148","3","143"
"202","Bonaire","134","3","126"
"203","Greg Mortimerq","128","1","No data"
"204","Antigua and Barbuda","128","3","117"
"205","Northern Mariana Islands","96","2","19"
"206","South Ossetiay","90","0","90"
"207","Saint Lucia","84","0","28"
"208","Saint Vincentz","75","0","71"
"209","British Virgin Islands","71","1","70"
"210","Dominica","50","0","33"
"211","Macau","46","0","46"
"212","Fiji","34","2","31"
"213","East Timor","30","0","29"
"214","Sahrawi Arab DRa","28","2","26"
"215","Grenada","28","0","24"
"216","New Caledonia","28","0","28"
"217","Vatican City","27","0","15"
"218","Laos","24","0","22"
"219","Saint Kitts and Nevis","19","0","19"
"220","Greenland","17","0","16"
"221","Saint Pierre and Miquelon","16","0","12"
"222","Sint Eustatius","14","0","4"
"223","Falkland Islands","13","0","13"
"224","Montserrat","13","1","12"
"225","MS Zaandamb","13","4","No data"
"226","Solomon Islands","13","0","4"
"227","Coral Princessc","12","3","No data"
"228","HNLMS Dolfijnd","8","0","8"
"229","Saba","5","0","5"
"230","Anguilla","3","0","3"
"231","Marshall Islands","2","0","0"
"232","Wallis and Futuna","1","0","1"
"233","Tanzaniae","No data","No data","No data"
"234","As of 4 November 2020 (UTC) · History of cases · History of deaths","As of 4 November 2020 (UTC) · History of cases · History of deaths","As of 4 November 2020 (UTC) · History of cases · History of deaths","As of 4 November 2020 (UTC) · History of cases · History of deaths"
